locus_tag	ftype	length_bp	gene	EC_number	COG	product
HFFIBJOL_00067	CDS	891				META domain protein [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00068	CDS	471				Polyketide cyclase / dehydrase and lipid transport [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00069	CDS	1017				ECF RNA polymerase sigma factor SigJ [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00070	CDS	783				Putative anti-sigma factor antagonist [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00071	CDS	372				MarR family protein [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00072	CDS	321				hypothetical protein [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00073	CDS	3099				Anaerobic glycerol-3-phosphate dehydrogenase subunit C [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00074	CDS	1755				Trehalase [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00075	CDS	1029				Daunorubicin/doxorubicin resistance ATP-binding protein DrrA [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00076	CDS	819				Daunorubicin/doxorubicin resistance ABC transporter permease protein DrrB [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00077	CDS	1620				putative bifunctional chitinase/lysozyme precursor [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00078	CDS	762				HTH-type transcriptional activator TipA [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00079	CDS	3690				Nitrate reductase alpha subunit [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00080	CDS	1641				Respiratory nitrate reductase 2 beta chain [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00081	CDS	627				Nitrate reductase-like protein NarX [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00082	CDS	807				Nitrate reductase-like protein NarX [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00083	CDS	933				putative membrane protein [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00084	CDS	1284				Isocitrate lyase [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00085	CDS	1599				Malate synthase [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00086	CDS	870				3-hydroxybutyryl-CoA dehydrogenase [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00087	CDS	1140				Citrate synthase [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00088	CDS	906				Methylisocitrate lyase [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00089	CDS	1509				2-methylcitrate dehydratase [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00090	CDS	1443				Helix-turn-helix protein [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00091	CDS	570				Caffeine dehydrogenase subunit gamma [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00092	CDS	999				4-hydroxybenzoyl-CoA reductase subunit beta [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00093	CDS	2229				Xanthine dehydrogenase molybdenum-binding subunit [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00094	CDS	210				hypothetical protein [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00095	CDS	756				Transcriptional regulatory protein EmbR [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00096	CDS	1692				Multidrug resistance protein 3 [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00097	CDS	498				HTH-type transcriptional repressor NicR [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00098	CDS	1278				Actinorhodin polyketide putative beta-ketoacyl synthase 1 [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00099	CDS	1269				Actinorhodin polyketide putative beta-ketoacyl synthase 2 [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00100	CDS	288				Oxytetracycline polyketide synthase acyl carrier protein [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00101	CDS	1839				Asparagine synthetase [glutamine-hydrolyzing] 3 [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00102	CDS	1257				Pentachlorophenol 4-monooxygenase [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00103	CDS	1038				Multifunctional cyclase-dehydratase-3-O-methyl transferase TcmN [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00104	CDS	1935				Long-chain-fatty-acid--CoA ligase [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00105	CDS	453				hypothetical protein [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00106	CDS	792				Putative ketoacyl reductase [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00107	CDS	954				Putative polyketide cyclase [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00108	CDS	1674				Pentachlorophenol 4-monooxygenase [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00109	CDS	759				Enoyl-[acyl-carrier-protein] reductase [NADPH] FabL [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00110	CDS	774				Kynurenine formamidase [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00111	CDS	1038				Secreted effector protein pipB2 [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00112	CDS	1023				Phthiocerol synthesis polyketide synthase type I PpsE [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00113	CDS	1080				LL-diaminopimelate aminotransferase [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00114	CDS	429				Pyridoxamine 5'-phosphate oxidase [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00115	CDS	1512				Pentachlorophenol 4-monooxygenase [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00116	CDS	1035				Demethylspheroidene O-methyltransferase [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00117	CDS	1986				Tetracycline resistance protein TetO [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00118	CDS	714				Transcriptional regulatory protein LiaR [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00119	CDS	816				S-adenosyl methyltransferase [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00120	CDS	906				hypothetical protein [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00121	CDS	243				hypothetical protein [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00122	CDS	495				hypothetical protein [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00123	CDS	594				sporulation inhibitor KapD [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00124	CDS	1251				Cytochrome P450-SU2 [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00125	CDS	873				Geranyl diphosphate 2-C-methyltransferase [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00126	CDS	1062				2-methylisoborneol synthase [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00127	CDS	1455				Major membrane protein I [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00128	CDS	444				Putative nitroreductase [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00129	CDS	528				hypothetical protein [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00130	CDS	474				MarR family protein [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00131	CDS	888				hypothetical protein [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00132	CDS	483				DNA gyrase subunit B [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00133	CDS	2091				DNA gyrase subunit B, novobiocin-resistant [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00134	CDS	1287				hypothetical protein [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00135	CDS	447				hypothetical protein [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00136	CDS	669				putative S-adenosyl-L-methionine-dependent methyltransferase [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00137	CDS	2568				Caspase domain protein [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00138	CDS	3519				CHAT domain protein [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00139	CDS	840				hypothetical protein [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00140	CDS	1302				hypothetical protein [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00141	CDS	1428				hypothetical protein [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00142	CDS	774				cAMP-activated global transcriptional regulator CRP [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00143	CDS	525				hypothetical protein [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00144	CDS	183				hypothetical protein [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00145	CDS	879				Protein-L-isoaspartate O-methyltransferase [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00146	CDS	135				hypothetical protein [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00147	CDS	396				hypothetical protein [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00148	CDS	1974				hypothetical protein [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00149	CDS	339				hypothetical protein [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00150	CDS	945				hypothetical protein [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00151	CDS	468				Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00152	CDS	513				Anti-sigma-B factor antagonist [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00153	CDS	276				hypothetical protein [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00154	CDS	729				hypothetical protein [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00155	CDS	165				hypothetical protein [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00156	CDS	1071				hypothetical protein [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00157	CDS	783				ANTAR domain protein [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00158	CDS	201				hypothetical protein [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00159	CDS	258				hypothetical protein
HFFIBJOL_00160	CDS	630				hypothetical protein [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00161	CDS	714				hypothetical protein [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00162	CDS	96				hypothetical protein [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00163	CDS	603				Alcohol dehydrogenase [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00164	CDS	219				hypothetical protein
HFFIBJOL_00165	CDS	240				hypothetical protein
HFFIBJOL_00166	CDS	129				hypothetical protein [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00167	CDS	693				GAF domain protein [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00168	CDS	729				ANTAR domain protein [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00169	CDS	768				ANTAR domain protein [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00170	CDS	729				hypothetical protein [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00171	CDS	348				hypothetical protein [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00172	CDS	996				hypothetical protein [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00173	CDS	483				RNA polymerase sigma factor SigF [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00174	CDS	381				STAS domain protein [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00175	CDS	1443				Phosphoserine phosphatase RsbU [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00176	CDS	174				CsbD-like protein [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00177	CDS	189				hypothetical protein [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00178	CDS	837				hypothetical protein [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00179	CDS	1152				Stearoyl-CoA 9-desaturase electron transfer partner [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00180	CDS	1143				Stearoyl-CoA 9-desaturase [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00181	CDS	555				hypothetical protein [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00182	CDS	384				hypothetical protein [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00183	CDS	459				hypothetical protein [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00184	CDS	999				Fatty acid desaturase [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00185	CDS	147				hypothetical protein [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00186	CDS	249				hypothetical protein [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00187	CDS	588				Alanine dehydrogenase [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00188	CDS	405				hypothetical protein [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00189	CDS	381				Transposase DDE domain protein [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00190	CDS	555				hypothetical protein [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00191	CDS	312				Transposase DDE domain protein [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00192	CDS	279				hypothetical protein [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00193	CDS	567				hypothetical protein [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00194	CDS	471				hypothetical protein [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00195	CDS	1791				Group II intron-encoded protein LtrA [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00196	CDS	1203				Transposase IS116/IS110/IS902 family protein [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00197	CDS	555				hypothetical protein [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00198	CDS	738				hypothetical protein [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00199	CDS	708				hypothetical protein [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00200	CDS	636				hypothetical protein [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00201	CDS	438				Spore-associated protein A precursor [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00202	CDS	486				Alkaline shock protein 23 [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00203	CDS	183				hypothetical protein [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00204	CDS	276				hypothetical protein [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00205	CDS	1386				Phage integrase family protein [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00206	CDS	1155				Tyrosine recombinase XerD [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00207	CDS	573				hypothetical protein [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00208	CDS	1575				hypothetical protein [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00209	CDS	162				hypothetical protein [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00210	CDS	1338				Protein involved in sporulation [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00211	CDS	543				ADP-ribose pyrophosphatase [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00212	CDS	1323				Protein involved in sporulation [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00213	CDS	921				Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00214	CDS	237				hypothetical protein [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00215	CDS	504				hypothetical protein [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00216	CDS	420				hypothetical protein [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00217	CDS	477				hypothetical protein [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00218	CDS	615				hypothetical protein [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00219	CDS	243				hypothetical protein [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00220	CDS	1038				hypothetical protein [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00221	CDS	525				NUDIX domain protein [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00222	CDS	672				Phytanoyl-CoA dioxygenase (PhyH) [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00223	CDS	1578				Phytanoyl-CoA dioxygenase (PhyH) [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00224	CDS	132				hypothetical protein [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00225	CDS	231				hypothetical protein [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00226	CDS	1242				Major Facilitator Superfamily protein [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00227	CDS	849				hypothetical protein [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00228	CDS	210				hypothetical protein [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00229	CDS	276				hypothetical protein [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00230	CDS	690				hypothetical protein [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00231	CDS	624				A-factor receptor protein [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00232	CDS	1362				Helix-turn-helix protein [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00233	CDS	147				hypothetical protein [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00234	CDS	891				hypothetical protein [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00235	CDS	708				hypothetical protein [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00236	CDS	642				Transcriptional regulator WhiB [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00237	CDS	1557				hypothetical protein [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00238	CDS	192				hypothetical protein [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00239	CDS	234				hypothetical protein [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00240	CDS	525				Bacterial mobilization protein (MobC) [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00241	CDS	1719				hypothetical protein [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00242	CDS	402				hypothetical protein [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00243	CDS	693				hypothetical protein [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00244	CDS	285				hypothetical protein [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00245	CDS	123				hypothetical protein [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00246	CDS	300				hypothetical protein [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00247	CDS	1779				Group II intron-encoded protein LtrA [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00248	CDS	162				hypothetical protein [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00249	CDS	273				hypothetical protein [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00250	CDS	822				hypothetical protein [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00251	CDS	291				hypothetical protein [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00252	CDS	285				hypothetical protein [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00253	CDS	150				LexA repressor [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00254	CDS	228				hypothetical protein [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00255	CDS	408				hypothetical protein [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00256	CDS	7440				Phthioceranic/hydroxyphthioceranic acid synthase [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00257	CDS	381				hypothetical protein [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00258	CDS	1029				Cna protein B-type domain protein [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00259	CDS	480				hypothetical protein [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00260	CDS	873				hypothetical protein [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00261	CDS	1230				Alanine-anticapsin ligase BacD [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00262	CDS	333				hypothetical protein [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00263	CDS	1224				Major Facilitator Superfamily protein [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00264	CDS	513				hypothetical protein [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00265	CDS	834				HxlR-like helix-turn-helix [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00266	CDS	396				hypothetical protein [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00267	CDS	444				hypothetical protein [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00268	CDS	444				hypothetical protein [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00269	CDS	348				Bacterial SH3 domain protein [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00270	CDS	786				hypothetical protein [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00271	CDS	702				hypothetical protein [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00272	CDS	480				hypothetical protein [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00273	CDS	657				hypothetical protein [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00274	CDS	756				Modification methylase RsrI [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00275	CDS	1122				Peptidoglycan endopeptidase RipA precursor [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00276	CDS	312				hypothetical protein [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00277	CDS	669				hypothetical protein [Streptomyces rimosus subsp. rimosus]
HFFIBJOL_00278	CDS	1362				hypothetical protein [Streptomyces rimosus subsp. rimosus]
