locus_tag	ftype	length_bp	gene	EC_number	COG	product
FGFFFLIJ_00052	CDS	612				hypothetical protein [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00053	CDS	807				2,5-dichloro-2,5-cyclohexadiene-1,4-diol dehydrogenase [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00054	CDS	357				hypothetical protein [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00055	CDS	957				Hca operon transcriptional activator [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00056	CDS	1194				D-alanyl-D-alanine carboxypeptidase precursor [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00057	CDS	696				(S)-2-haloacid dehalogenase 4A [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00058	CDS	717				hypothetical protein [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00059	CDS	516				ChrR Cupin-like domain protein [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00060	CDS	1239				Purine ribonucleoside efflux pump NepI [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00061	CDS	642				Stress responsive A/B Barrel Domain protein [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00062	CDS	591				RNA pyrophosphohydrolase [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00063	CDS	765				hypothetical protein [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00064	CDS	624				Tetracycline repressor protein class H [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00065	CDS	1605				Pentachlorophenol 4-monooxygenase [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00066	CDS	1014				hypothetical protein [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00067	CDS	1524				Amino acid permease [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00068	CDS	801				Acetyltransferase (GNAT) family protein [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00069	CDS	903				NAD(P)H azoreductase [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00070	CDS	846				hypothetical protein [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00071	CDS	750				General stress protein 39 [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00072	tRNA	90				tRNA-Asp(gtc)
FGFFFLIJ_00073	CDS	1620				carbohydrate diacid transcriptional activator CdaR [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00074	CDS	1131				D-alanyl-D-alanine carboxypeptidase precursor [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00075	CDS	1110				o-succinylbenzoate synthase [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00076	CDS	774				hypothetical protein [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00077	CDS	1083				Carboxypeptidase G2 precursor [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00078	CDS	1104				Membrane dipeptidase (Peptidase family M19) [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00079	CDS	549				hypothetical protein [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00080	CDS	210				hypothetical protein [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00081	CDS	477				Polyketide cyclase / dehydrase and lipid transport [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00082	CDS	825				hypothetical protein [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00083	CDS	708				DinB superfamily protein [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00084	CDS	879				hypothetical protein [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00085	CDS	534				putative kinase inhibitor [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00086	CDS	717				HTH-type transcriptional repressor CsiR [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00087	CDS	1245				Mycocyclosin synthase [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00088	CDS	1215				cholestanetriol 26-monooxygenase [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00089	CDS	3162				Linear gramicidin synthase subunit D [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00090	CDS	489				Pyridoxamine 5'-phosphate oxidase [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00091	CDS	1026				hypothetical protein [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00092	CDS	396				hypothetical protein [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00093	CDS	2211				Membrane protein YdfJ [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00094	CDS	1875				Asparagine synthetase (glutamine-hydrolyzing) 3 [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00095	CDS	1218				3-oxoacyl-(acyl-carrier-protein) synthase 2 [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00096	CDS	288				Acyl carrier protein [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00097	CDS	1356				pimeloyl-[acyl-carrier protein] synthase [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00098	CDS	447				Thioesterase superfamily protein [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00099	CDS	435				hypothetical protein [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00100	CDS	3180				hypothetical protein [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00101	CDS	1515				hypothetical protein [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00102	CDS	1593				hypothetical protein [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00103	CDS	1641				Para-nitrobenzyl esterase [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00104	CDS	753				Glycosyl transferase family 2 [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00105	CDS	657				Trans-aconitate 2-methyltransferase [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00106	CDS	750				1D-myo-inositol 2-acetamido-2-deoxy-alpha-D-glucopyranoside deacetylase [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00107	CDS	1035				Acyl-CoA dehydrogenase, middle domain [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00108	CDS	351				hypothetical protein [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00109	CDS	639				Polyketide cyclase / dehydrase and lipid transport [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00110	CDS	4293				Signal transduction histidine-protein kinase BarA [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00111	CDS	2505				Phosphoserine phosphatase RsbU [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00112	CDS	927				haloalkane dehalogenase [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00113	CDS	735				Ubiquinone biosynthesis O-methyltransferase [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00114	CDS	600				hypothetical protein [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00115	CDS	192				hypothetical protein [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00116	CDS	1188				Anaerobic sulfatase-maturating enzyme [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00117	CDS	516				hypothetical protein [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00118	CDS	1671				Arginine--tRNA ligase [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00119	CDS	195				hypothetical protein [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00120	CDS	1077				Fluoroacetate dehalogenase [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00121	CDS	420				Cupin domain protein [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00122	CDS	567				Transcriptional regulator, TetR family [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00123	CDS	375				hypothetical protein [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00124	CDS	573				CGNR zinc finger [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00125	CDS	1710				putative ABC transporter ATP-binding protein YheS [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00126	CDS	1635				putative ABC transporter ATP-binding protein YheS [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00127	CDS	963				Quinone oxidoreductase 1 [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00128	CDS	600				putative HTH-type transcriptional regulator YxaF [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00129	CDS	231				hypothetical protein [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00130	CDS	150				hypothetical protein [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00131	CDS	417				Papain inhibitor precursor [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00132	CDS	1011				HTH-type transcriptional regulator DegA [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00133	CDS	1368				glycerol-3-phosphate transporter periplasmic binding protein [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00134	CDS	948				L-arabinose transport system permease protein AraP [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00135	CDS	882				L-arabinose transport system permease protein AraQ [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00136	CDS	1605				Oligo-1,6-glucosidase [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00137	CDS	2496				F5/8 type C domain protein [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00138	CDS	192				hypothetical protein [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00139	CDS	939				hypothetical protein [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00140	CDS	993				HTH-type transcriptional regulator CdhR [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00141	CDS	630				Streptothricin hydrolase [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00142	CDS	381				putative HTH-type transcriptional regulator YtcD [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00143	CDS	657				NmrA-like family protein [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00144	CDS	513				hypothetical protein [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00145	CDS	1539				hypothetical protein [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00146	CDS	741				Cypemycin methyltransferase [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00147	CDS	423				hypothetical protein [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00148	CDS	933				4-hydroxy-tetrahydrodipicolinate synthase [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00149	CDS	798				Decarboxylase NovR [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00150	CDS	612				HTH-type transcriptional regulator SinR [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00151	CDS	1023				Calcineurin-like phosphoesterase [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00152	CDS	621				Transcriptional regulator, TetR family [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00153	CDS	1221				Cytochrome P450 105A3 [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00154	CDS	192				Ferredoxin-1 [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00155	CDS	972				putative acetyltransferase [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00156	CDS	390	blaZ	3.5.2.6		Beta-lactamase 3
FGFFFLIJ_00157	CDS	498				Transposase DDE domain protein [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00158	CDS	402				hypothetical protein [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00159	CDS	1335				Lanthionine synthetase C-like protein [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00160	CDS	693				NADH:ubiquinone reductase (H+-translocating) [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00161	CDS	585				Transcriptional regulator, TetR family [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00162	CDS	1257				O-acetyltransferase OatA [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00163	CDS	915				hypothetical protein [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00164	CDS	345				hypothetical protein [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00165	CDS	405				SnoaL-like polyketide cyclase [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00166	CDS	720				DNA-binding transcriptional repressor FabR [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00167	CDS	1014				Transcriptional regulator NovG [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00168	CDS	1665				RNA polymerase sigma factor RpoE [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00169	CDS	963				D-alanyl-D-alanine carboxypeptidase precursor [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00170	CDS	900				CAAX amino terminal protease self- immunity [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00171	CDS	585				hypothetical protein [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00172	CDS	948				Porphobilinogen deaminase [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00173	CDS	270				hypothetical protein [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00174	CDS	450				Putative nitroreductase [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00175	CDS	537				hypothetical protein [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00176	CDS	873				ABC-2 family transporter protein [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00177	CDS	921				Fluoroquinolones export ATP-binding protein [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00178	CDS	429				hypothetical protein [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00179	CDS	489				hypothetical protein [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00180	CDS	1488				HTH-type transcriptional regulator NorG [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00181	CDS	825				hypothetical protein [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00182	CDS	972				Quinone oxidoreductase 1 [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00183	CDS	612				Cold shock protein CspV [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00184	CDS	7647				Linear gramicidin synthase subunit B [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00185	CDS	3402				Phthiocerol synthesis polyketide synthase type I PpsE [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00186	CDS	1284				enterobactin exporter EntS [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00187	CDS	222				Transcriptional regulatory protein FixJ [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00188	CDS	1173				Hexaprenyl-diphosphate synthase large subunit ((2E,6E)-farnesyl-diphosphate specific) [Streptomyces rimosus subsp.rimosus]
FGFFFLIJ_00189	CDS	150				hypothetical protein [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00190	CDS	1551				zeta-carotene-forming phytoene desaturase [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00191	CDS	1953				15-cis-phytoene synthase [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00192	CDS	144				hypothetical protein [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00193	CDS	1602				15-cis-phytoene desaturase [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00194	CDS	1203				Lycopene cyclase protein [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00195	CDS	312				hypothetical protein [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00196	CDS	666				Extracellular small neutral protease precursor [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00197	CDS	888				Putative DNA ligase-like protein [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00198	CDS	1101				putative DNA repair protein YkoV [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00199	CDS	375				Heat shock protein 15 [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00200	CDS	414				hypothetical protein [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00201	CDS	975				hypothetical protein [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00202	CDS	1218				D-alanyl-D-alanine carboxypeptidase precursor [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00203	CDS	201				hypothetical protein [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00204	CDS	303				hypothetical protein [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00205	CDS	270				hypothetical protein [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00206	CDS	216				MbtH-like protein [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00207	tRNA	82				tRNA-Arg(tcg)
FGFFFLIJ_00208	CDS	894				hypothetical protein [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00209	CDS	1629				Receptor family ligand binding region [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00210	CDS	2142				hypothetical protein [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00211	CDS	483				hypothetical protein [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00212	CDS	1104				Hemopexin [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00213	CDS	1926				Phosphoserine phosphatase RsbU [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00214	CDS	231				Cold shock protein ScoF [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00215	CDS	201				hypothetical protein [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00216	CDS	1482				hypothetical protein [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00217	CDS	417				hypothetical protein [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00218	CDS	537				Aminoglycoside N(6')-acetyltransferase type 1 [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00219	CDS	879				hypothetical protein [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00220	CDS	756				hypothetical protein [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00221	CDS	195				hypothetical protein [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00222	CDS	1959				hypothetical protein [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00223	CDS	741				hypothetical protein [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00224	CDS	1503				2-aminoadipate transaminase [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00225	CDS	723				hypothetical protein [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00226	CDS	927				Alkanesulfonate monooxygenase [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00227	CDS	822				Glycerophosphoryl diester phosphodiesterase [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00228	CDS	384				RNA polymerase-binding protein RbpA [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00229	CDS	588				phage T7 F exclusion suppressor FxsA [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00230	CDS	369				Glyoxalase-like domain protein [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00231	CDS	246				hypothetical protein [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00232	CDS	966				F420-dependent glucose-6-phosphate dehydrogenase [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00233	CDS	759				Undecaprenyl-phosphate mannosyltransferase [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00234	CDS	1653				Apolipoprotein N-acyltransferase [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00235	CDS	1641				N-substituted formamide deformylase precursor [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00236	CDS	441				Leucine-responsive regulatory protein [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00237	CDS	510				hypothetical protein [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00238	CDS	1101				Putative aminoglycoside phosphotransferase [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00239	CDS	1182				hypothetical protein [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00240	CDS	1191				Threonine synthase [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00241	CDS	1173				Acyl-CoA dehydrogenase [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00242	CDS	1272				Chitinase C precursor [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00243	CDS	921				Quinone oxidoreductase 1 [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00244	CDS	570				Transcriptional regulator, TetR family [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00245	CDS	834				Trypsin [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00246	CDS	357				hypothetical protein [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00247	CDS	624				hypothetical protein [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00248	CDS	1149				hypothetical protein [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00249	CDS	1737				(R)-stereoselective amidase [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00250	CDS	1431				Cobyrinic acid A,C-diamide synthase [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00251	CDS	675				hypothetical protein [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00252	CDS	1308				Enolase [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00253	CDS	423				MarR family protein [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00254	CDS	2631				Beta-glucuronidase [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00255	CDS	660				HTH-type transcriptional regulator EthR [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00256	CDS	615				hypothetical protein [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00257	CDS	1149				hypothetical protein [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00258	CDS	924				hypothetical protein [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00259	CDS	1260				Acetoin dehydrogenase operon transcriptional activator AcoR [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00260	CDS	1524				EPTC-inducible aldehyde dehydrogenase [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00261	CDS	867				hypothetical protein [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00262	CDS	1803				Cytolethal distending toxin subunit B precursor [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00263	CDS	495				hypothetical protein [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00264	CDS	429				hypothetical protein [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00265	CDS	129				hypothetical protein
FGFFFLIJ_00266	CDS	666				HTH-type transcriptional regulator EthR [Streptomyces rimosus subsp. rimosus]
FGFFFLIJ_00267	CDS	948				Fatty acyl-CoA reductase [Streptomyces rimosus subsp. rimosus]
