# Program:featureCounts v2.0.3; Command:"featureCounts" "-T" "8" "-p" "-s" "2" "-a" "/home/lukasa/Genome_analysis_project/05-annotation/HP126_prokka_output/HP126_annotation.gtf" "-o" "HP126_counts_61.txt" "-g" "gene_id" "-t" "transcript" "/home/lukasa/Genome_analysis_project/07-RNA_mapping/61_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	/home/lukasa/Genome_analysis_project/07-RNA_mapping/61_sorted.bam
HFFIBJOL_00095	contig_1_pilon	101284	102039	-	756	2546
HFFIBJOL_00096	contig_1_pilon	102303	103994	-	1692	3078
HFFIBJOL_00097	contig_1_pilon	104134	104631	+	498	31
HFFIBJOL_00098	contig_1_pilon	104776	106053	+	1278	5732
HFFIBJOL_00099	contig_1_pilon	106050	107318	+	1269	2246
HFFIBJOL_00100	contig_1_pilon	107394	107681	+	288	1167
HFFIBJOL_00101	contig_1_pilon	107692	109530	+	1839	2891
HFFIBJOL_00102	contig_1_pilon	109527	110783	+	1257	1096
HFFIBJOL_00103	contig_1_pilon	110847	111884	-	1038	8188
HFFIBJOL_00104	contig_1_pilon	111937	113871	-	1935	10234
HFFIBJOL_00105	contig_1_pilon	113910	114362	-	453	3124
HFFIBJOL_00106	contig_1_pilon	114631	115422	+	792	7740
HFFIBJOL_00107	contig_1_pilon	115481	116434	+	954	5840
HFFIBJOL_00108	contig_1_pilon	116424	118097	+	1674	3616
HFFIBJOL_00109	contig_1_pilon	118115	118873	+	759	3097
HFFIBJOL_00110	contig_1_pilon	118893	119666	+	774	3674
HFFIBJOL_00111	contig_1_pilon	119796	120833	+	1038	411
HFFIBJOL_00112	contig_1_pilon	120851	121873	-	1023	1214
HFFIBJOL_00113	contig_1_pilon	121870	122949	-	1080	4168
HFFIBJOL_00114	contig_1_pilon	122946	123374	-	429	5698
HFFIBJOL_00115	contig_1_pilon	123530	125041	+	1512	5169
HFFIBJOL_00116	contig_1_pilon	125102	126136	+	1035	5409
HFFIBJOL_00117	contig_1_pilon	126295	128280	+	1986	4642
HFFIBJOL_00118	contig_1_pilon	128338	129051	-	714	6180
HFFIBJOL_00119	contig_1_pilon	129644	130459	+	816	453
HFFIBJOL_00120	contig_1_pilon	130487	131392	-	906	469
HFFIBJOL_00121	contig_1_pilon	131483	131725	-	243	214
HFFIBJOL_00122	contig_1_pilon	131921	132415	+	495	36
HFFIBJOL_00123	contig_1_pilon	132495	133088	+	594	37
HFFIBJOL_00124	contig_1_pilon	133130	134380	-	1251	1251
HFFIBJOL_00125	contig_1_pilon	134597	135469	-	873	464
HFFIBJOL_00126	contig_1_pilon	135506	136567	-	1062	302
HFFIBJOL_00127	contig_1_pilon	136584	138038	-	1455	361
HFFIBJOL_00128	contig_1_pilon	138687	139130	-	444	32
HFFIBJOL_00129	contig_1_pilon	139281	139808	-	528	0
HFFIBJOL_00130	contig_1_pilon	139866	140339	+	474	20
HFFIBJOL_00131	contig_1_pilon	141543	142430	-	888	70
HFFIBJOL_00132	contig_1_pilon	142795	143277	-	483	0
HFFIBJOL_00133	contig_1_pilon	143378	145468	-	2091	35
HFFIBJOL_00134	contig_1_pilon	146112	147398	-	1287	36
HFFIBJOL_00135	contig_1_pilon	147591	148037	+	447	68
HFFIBJOL_00136	contig_1_pilon	148181	148849	+	669	16
HFFIBJOL_00137	contig_1_pilon	148846	151413	-	2568	22
HFFIBJOL_00138	contig_1_pilon	151406	154924	-	3519	6
HFFIBJOL_00139	contig_1_pilon	155021	155860	-	840	7
HFFIBJOL_00140	contig_1_pilon	155860	157161	-	1302	8
HFFIBJOL_00141	contig_1_pilon	157130	158557	-	1428	2
HFFIBJOL_00142	contig_1_pilon	158611	159384	-	774	7
HFFIBJOL_00143	contig_1_pilon	160243	160767	+	525	80
HFFIBJOL_00144	contig_1_pilon	161177	161359	+	183	14
HFFIBJOL_00145	contig_1_pilon	161602	162480	-	879	402
HFFIBJOL_00146	contig_1_pilon	162477	162611	-	135	57
HFFIBJOL_00147	contig_1_pilon	163286	163681	-	396	103
HFFIBJOL_00148	contig_1_pilon	163772	165745	+	1974	2556
HFFIBJOL_00149	contig_1_pilon	166259	166597	+	339	193
HFFIBJOL_00150	contig_1_pilon	167150	168094	-	945	84
HFFIBJOL_00151	contig_1_pilon	168544	169011	-	468	185
HFFIBJOL_00152	contig_1_pilon	169243	169755	-	513	23
HFFIBJOL_00153	contig_1_pilon	170381	170656	+	276	25
HFFIBJOL_00154	contig_1_pilon	170672	171400	-	729	12
HFFIBJOL_00155	contig_1_pilon	172376	172540	+	165	10
HFFIBJOL_00156	contig_1_pilon	172562	173632	+	1071	26
HFFIBJOL_00157	contig_1_pilon	174004	174786	-	783	540
HFFIBJOL_00158	contig_1_pilon	175315	175515	-	201	5
HFFIBJOL_00159	contig_1_pilon	175472	175729	-	258	1
HFFIBJOL_00160	contig_1_pilon	176145	176774	+	630	17
HFFIBJOL_00161	contig_1_pilon	177127	177840	+	714	101
HFFIBJOL_00162	contig_1_pilon	178347	178442	-	96	17
HFFIBJOL_00163	contig_1_pilon	178491	179093	+	603	4
HFFIBJOL_00164	contig_1_pilon	179675	179893	-	219	1
HFFIBJOL_00165	contig_1_pilon	179901	180140	-	240	9
HFFIBJOL_00166	contig_1_pilon	180261	180389	+	129	23
HFFIBJOL_00167	contig_1_pilon	180829	181521	-	693	997
HFFIBJOL_00168	contig_1_pilon	181619	182347	-	729	1951
HFFIBJOL_00169	contig_1_pilon	182344	183111	-	768	442
HFFIBJOL_00170	contig_1_pilon	183446	184174	+	729	60
HFFIBJOL_00171	contig_1_pilon	184602	184949	+	348	36
HFFIBJOL_00172	contig_1_pilon	184942	185937	+	996	22
HFFIBJOL_00173	contig_1_pilon	186736	187218	-	483	45
HFFIBJOL_00174	contig_1_pilon	188953	189333	+	381	501
HFFIBJOL_00175	contig_1_pilon	189562	191004	+	1443	224
HFFIBJOL_00176	contig_1_pilon	191100	191273	+	174	55
HFFIBJOL_00177	contig_1_pilon	191466	191654	-	189	20
HFFIBJOL_00178	contig_1_pilon	192165	193001	-	837	496
HFFIBJOL_00179	contig_1_pilon	193713	194864	+	1152	67
HFFIBJOL_00180	contig_1_pilon	194883	196025	+	1143	62
HFFIBJOL_00181	contig_1_pilon	196146	196700	+	555	449
HFFIBJOL_00182	contig_1_pilon	196866	197249	+	384	97
HFFIBJOL_00183	contig_1_pilon	197246	197704	+	459	109
HFFIBJOL_00184	contig_1_pilon	197821	198819	+	999	145
HFFIBJOL_00185	contig_1_pilon	198852	198998	-	147	0
HFFIBJOL_00186	contig_1_pilon	199036	199284	-	249	0
HFFIBJOL_00187	contig_1_pilon	199611	200198	+	588	209
HFFIBJOL_00188	contig_1_pilon	200356	200760	+	405	15
HFFIBJOL_00189	contig_1_pilon	200775	201155	-	381	9
HFFIBJOL_00190	contig_1_pilon	201302	201856	+	555	22
HFFIBJOL_00191	contig_1_pilon	202012	202323	+	312	4
HFFIBJOL_00192	contig_1_pilon	202626	202904	-	279	102
HFFIBJOL_00193	contig_1_pilon	202912	203478	-	567	262
HFFIBJOL_00194	contig_1_pilon	203866	204336	+	471	866
HFFIBJOL_00195	contig_1_pilon	205436	207226	+	1791	1771
HFFIBJOL_00196	contig_1_pilon	207375	208577	+	1203	101
HFFIBJOL_00197	contig_1_pilon	208787	209341	+	555	47
HFFIBJOL_00198	contig_1_pilon	209726	210463	+	738	138
HFFIBJOL_00199	contig_1_pilon	211144	211851	-	708	88
HFFIBJOL_00200	contig_1_pilon	211908	212543	-	636	71
HFFIBJOL_00201	contig_1_pilon	213152	213589	+	438	118
HFFIBJOL_00202	contig_1_pilon	214324	214809	-	486	301
HFFIBJOL_00203	contig_1_pilon	215010	215192	-	183	0
HFFIBJOL_00204	contig_1_pilon	215219	215494	+	276	10
HFFIBJOL_00205	contig_1_pilon	216067	217452	-	1386	9
HFFIBJOL_00206	contig_1_pilon	219236	220390	+	1155	81
HFFIBJOL_00207	contig_1_pilon	220784	221356	-	573	198
HFFIBJOL_00208	contig_1_pilon	221457	223031	-	1575	122
HFFIBJOL_00209	contig_1_pilon	223096	223257	-	162	23
HFFIBJOL_00210	contig_1_pilon	223500	224837	+	1338	320
HFFIBJOL_00211	contig_1_pilon	224970	225512	+	543	319
HFFIBJOL_00212	contig_1_pilon	225509	226831	-	1323	162
HFFIBJOL_00213	contig_1_pilon	226981	227901	+	921	5
HFFIBJOL_00214	contig_1_pilon	227995	228231	+	237	4
HFFIBJOL_00215	contig_1_pilon	228231	228734	+	504	0
HFFIBJOL_00216	contig_1_pilon	228731	229150	+	420	1
HFFIBJOL_00217	contig_1_pilon	229209	229685	+	477	1
HFFIBJOL_00218	contig_1_pilon	229689	230303	+	615	2
HFFIBJOL_00219	contig_1_pilon	230573	230815	+	243	0
HFFIBJOL_00220	contig_1_pilon	230806	231843	+	1038	12
HFFIBJOL_00221	contig_1_pilon	231852	232376	+	525	4
HFFIBJOL_00222	contig_1_pilon	232373	233044	+	672	16
HFFIBJOL_00223	contig_1_pilon	233142	234719	+	1578	46
HFFIBJOL_00224	contig_1_pilon	234752	234883	+	132	0
HFFIBJOL_00225	contig_1_pilon	234968	235198	+	231	10
HFFIBJOL_00226	contig_1_pilon	235245	236486	-	1242	4
HFFIBJOL_00227	contig_1_pilon	236773	237621	-	849	8
HFFIBJOL_00228	contig_1_pilon	237880	238089	+	210	6
HFFIBJOL_00229	contig_1_pilon	238035	238310	+	276	53
HFFIBJOL_00230	contig_1_pilon	238492	239181	+	690	184
HFFIBJOL_00231	contig_1_pilon	239688	240311	-	624	78
HFFIBJOL_00232	contig_1_pilon	240589	241950	-	1362	342
HFFIBJOL_00233	contig_1_pilon	242849	242995	+	147	0
HFFIBJOL_00234	contig_1_pilon	242992	243882	+	891	1
HFFIBJOL_00235	contig_1_pilon	243890	244597	+	708	0
HFFIBJOL_00236	contig_1_pilon	244750	245391	+	642	2
HFFIBJOL_00237	contig_1_pilon	245388	246944	+	1557	10
HFFIBJOL_00238	contig_1_pilon	246941	247132	+	192	0
HFFIBJOL_00239	contig_1_pilon	247224	247457	+	234	1
HFFIBJOL_00240	contig_1_pilon	247565	248089	+	525	5
HFFIBJOL_00241	contig_1_pilon	248349	250067	+	1719	18
HFFIBJOL_00242	contig_1_pilon	250196	250597	+	402	122
HFFIBJOL_00243	contig_1_pilon	250676	251368	+	693	74
HFFIBJOL_00244	contig_1_pilon	251475	251759	-	285	28
HFFIBJOL_00245	contig_1_pilon	252513	252635	+	123	50
HFFIBJOL_00246	contig_1_pilon	252766	253065	+	300	285
HFFIBJOL_00247	contig_1_pilon	253941	255719	+	1779	45
HFFIBJOL_00248	contig_1_pilon	255774	255935	+	162	5
HFFIBJOL_00249	contig_1_pilon	256014	256286	-	273	11
HFFIBJOL_00250	contig_1_pilon	256590	257411	-	822	17
HFFIBJOL_00251	contig_1_pilon	257427	257717	-	291	54
HFFIBJOL_00252	contig_1_pilon	257825	258109	-	285	25
HFFIBJOL_00253	contig_1_pilon	258685	258834	+	150	16
HFFIBJOL_00254	contig_1_pilon	259085	259312	-	228	4
HFFIBJOL_00255	contig_1_pilon	259656	260063	+	408	58
HFFIBJOL_00256	contig_1_pilon	260291	267730	+	7440	217
HFFIBJOL_00257	contig_1_pilon	267668	268048	-	381	26
HFFIBJOL_00258	contig_1_pilon	268571	269599	-	1029	123
HFFIBJOL_00259	contig_1_pilon	269739	270218	-	480	11
HFFIBJOL_00260	contig_1_pilon	270249	271121	-	873	0
HFFIBJOL_00261	contig_1_pilon	271118	272347	-	1230	2
HFFIBJOL_00262	contig_1_pilon	272397	272729	-	333	0
HFFIBJOL_00263	contig_1_pilon	272734	273957	-	1224	4
HFFIBJOL_00264	contig_1_pilon	273954	274466	-	513	2
HFFIBJOL_00265	contig_1_pilon	274463	275296	-	834	0
HFFIBJOL_00266	contig_1_pilon	275333	275728	-	396	0
HFFIBJOL_00267	contig_1_pilon	275762	276205	-	444	1
HFFIBJOL_00268	contig_1_pilon	276202	276645	-	444	4
HFFIBJOL_00269	contig_1_pilon	276739	277086	-	348	2
HFFIBJOL_00270	contig_1_pilon	277330	278115	-	786	14
HFFIBJOL_00271	contig_1_pilon	278085	278786	-	702	5
HFFIBJOL_00272	contig_1_pilon	278803	279282	-	480	0
HFFIBJOL_00273	contig_1_pilon	279279	279935	-	657	9
HFFIBJOL_00274	contig_1_pilon	280086	280841	-	756	6
HFFIBJOL_00275	contig_1_pilon	281340	282461	+	1122	6
HFFIBJOL_00276	contig_1_pilon	282785	283096	+	312	0
HFFIBJOL_00277	contig_1_pilon	283096	283764	+	669	0
HFFIBJOL_00278	contig_1_pilon	283780	285141	+	1362	51
HFFIBJOL_00279	contig_1_pilon	285218	286690	+	1473	3
HFFIBJOL_00280	contig_1_pilon	287047	287499	+	453	0
HFFIBJOL_00281	contig_1_pilon	287525	289033	+	1509	5
HFFIBJOL_00282	contig_1_pilon	289044	289610	+	567	2
HFFIBJOL_00283	contig_1_pilon	289965	290753	+	789	0
HFFIBJOL_00284	contig_1_pilon	290764	291378	+	615	4
HFFIBJOL_00285	contig_1_pilon	291482	292162	+	681	2
HFFIBJOL_00286	contig_1_pilon	293125	293219	-	95	0
HFFIBJOL_00287	contig_1_pilon	293306	293761	+	456	0
HFFIBJOL_00288	contig_1_pilon	293758	294102	+	345	1
HFFIBJOL_00289	contig_1_pilon	294193	295299	+	1107	4
HFFIBJOL_00290	contig_1_pilon	295368	296123	-	756	92
HFFIBJOL_00291	contig_1_pilon	296293	296910	-	618	249
HFFIBJOL_00292	contig_1_pilon	297162	297695	-	534	157
HFFIBJOL_00293	contig_1_pilon	298200	298697	+	498	6
HFFIBJOL_00294	contig_1_pilon	298796	299233	+	438	20
HFFIBJOL_00295	contig_1_pilon	299230	300015	+	786	0
HFFIBJOL_00296	contig_1_pilon	300012	300869	+	858	0
HFFIBJOL_00297	contig_1_pilon	300883	301578	+	696	0
HFFIBJOL_00298	contig_1_pilon	301602	302360	+	759	2
HFFIBJOL_00299	contig_1_pilon	302447	302854	+	408	2
HFFIBJOL_00300	contig_1_pilon	303129	303509	+	381	2
HFFIBJOL_00301	contig_1_pilon	303506	304309	+	804	0
HFFIBJOL_00302	contig_1_pilon	304338	304694	+	357	0
HFFIBJOL_00303	contig_1_pilon	305787	306113	+	327	2
HFFIBJOL_00304	contig_1_pilon	306453	308240	+	1788	8
HFFIBJOL_00305	contig_1_pilon	308325	308936	+	612	10
HFFIBJOL_00306	contig_1_pilon	309264	310064	+	801	1
HFFIBJOL_00307	contig_1_pilon	310186	310611	+	426	0
HFFIBJOL_00308	contig_1_pilon	310855	311595	+	741	0
HFFIBJOL_00309	contig_1_pilon	311592	312836	+	1245	4
HFFIBJOL_00310	contig_1_pilon	312836	313957	+	1122	0
HFFIBJOL_00311	contig_1_pilon	313993	314295	+	303	1
HFFIBJOL_00312	contig_1_pilon	314379	315002	+	624	95
HFFIBJOL_00313	contig_1_pilon	315304	315585	+	282	208
HFFIBJOL_00314	contig_1_pilon	316097	316321	-	225	140
HFFIBJOL_00315	contig_1_pilon	316946	318514	+	1569	5
HFFIBJOL_00316	contig_1_pilon	318646	319596	-	951	40
HFFIBJOL_00317	contig_1_pilon	319723	320412	-	690	41
HFFIBJOL_00318	contig_1_pilon	320530	321285	-	756	133
HFFIBJOL_00319	contig_1_pilon	322627	326352	+	3726	1560
HFFIBJOL_00320	contig_1_pilon	326354	327994	+	1641	812
HFFIBJOL_00321	contig_1_pilon	327991	328617	+	627	99
HFFIBJOL_00322	contig_1_pilon	328614	329405	+	792	290
HFFIBJOL_00323	contig_1_pilon	329524	330579	+	1056	153
HFFIBJOL_00324	contig_1_pilon	330747	331811	-	1065	1
HFFIBJOL_00325	contig_1_pilon	331954	332445	-	492	8
HFFIBJOL_00326	contig_1_pilon	333143	334168	+	1026	72
HFFIBJOL_00327	contig_1_pilon	334147	334329	-	183	7
HFFIBJOL_00328	contig_1_pilon	335116	335574	-	459	76
HFFIBJOL_00329	contig_1_pilon	335966	336697	+	732	96
HFFIBJOL_00330	contig_1_pilon	336977	337324	+	348	4
HFFIBJOL_00331	contig_1_pilon	337538	338014	+	477	19
HFFIBJOL_00332	contig_1_pilon	338309	338965	+	657	6
HFFIBJOL_00333	contig_1_pilon	339208	339615	-	408	138
HFFIBJOL_00334	contig_1_pilon	340309	341010	-	702	103
HFFIBJOL_00335	contig_1_pilon	341247	341702	-	456	42
HFFIBJOL_00336	contig_1_pilon	342299	343054	-	756	90
HFFIBJOL_00337	contig_1_pilon	343231	344472	-	1242	3
HFFIBJOL_00338	contig_1_pilon	344672	345403	+	732	5
HFFIBJOL_00339	contig_1_pilon	345554	346594	-	1041	446
HFFIBJOL_00340	contig_1_pilon	347392	348819	+	1428	104
HFFIBJOL_00341	contig_1_pilon	348949	349602	+	654	86
HFFIBJOL_00342	contig_1_pilon	349656	349994	-	339	0
HFFIBJOL_00343	contig_1_pilon	350026	350973	-	948	9
HFFIBJOL_00344	contig_1_pilon	350973	351587	-	615	22
HFFIBJOL_00345	contig_1_pilon	351587	352435	-	849	84
HFFIBJOL_00346	contig_1_pilon	353080	354333	-	1254	264
HFFIBJOL_00347	contig_1_pilon	354733	355425	-	693	48
HFFIBJOL_00348	contig_1_pilon	355968	356177	+	210	0
HFFIBJOL_00349	contig_1_pilon	356167	357543	+	1377	10
HFFIBJOL_00350	contig_1_pilon	357587	358813	+	1227	4
HFFIBJOL_00351	contig_1_pilon	358857	359144	+	288	139
HFFIBJOL_00352	contig_1_pilon	359713	360021	-	309	26
HFFIBJOL_00353	contig_1_pilon	360085	360495	-	411	6
HFFIBJOL_00354	contig_1_pilon	360519	360824	+	306	0
HFFIBJOL_00355	contig_1_pilon	361158	361883	+	726	6
HFFIBJOL_00356	contig_1_pilon	362034	362735	+	702	11
HFFIBJOL_00357	contig_1_pilon	363095	363532	-	438	76
HFFIBJOL_00358	contig_1_pilon	363588	363983	-	396	65
HFFIBJOL_00359	contig_1_pilon	364083	364514	-	432	217
HFFIBJOL_00360	contig_1_pilon	364697	365170	-	474	0
HFFIBJOL_00361	contig_1_pilon	365469	365750	+	282	10
HFFIBJOL_00362	contig_1_pilon	365784	365927	+	144	5
HFFIBJOL_00363	contig_1_pilon	366086	366271	-	186	2
HFFIBJOL_00364	contig_1_pilon	366639	367001	-	363	5
HFFIBJOL_00365	contig_1_pilon	367059	367400	-	342	89
HFFIBJOL_00366	contig_1_pilon	368085	368429	-	345	51
HFFIBJOL_00367	contig_1_pilon	368566	369375	+	810	44
HFFIBJOL_00368	contig_1_pilon	369480	369695	-	216	0
HFFIBJOL_00369	contig_1_pilon	369784	370026	-	243	0
HFFIBJOL_00370	contig_1_pilon	370309	372435	-	2127	4
HFFIBJOL_00371	contig_1_pilon	372451	372720	-	270	0
HFFIBJOL_00372	contig_1_pilon	373233	373904	+	672	33
HFFIBJOL_00373	contig_1_pilon	373898	375025	+	1128	63
HFFIBJOL_00374	contig_1_pilon	375388	375561	+	174	0
HFFIBJOL_00375	contig_1_pilon	375809	377311	-	1503	39
HFFIBJOL_00376	contig_1_pilon	378499	379278	+	780	28
HFFIBJOL_00377	contig_1_pilon	379828	380631	-	804	2
HFFIBJOL_00378	contig_1_pilon	380628	381299	-	672	4
HFFIBJOL_00379	contig_1_pilon	381543	382118	+	576	2
HFFIBJOL_00380	contig_1_pilon	382837	384663	+	1827	1944
HFFIBJOL_00381	contig_1_pilon	384699	386624	+	1926	759
HFFIBJOL_00382	contig_1_pilon	386595	387767	-	1173	4
HFFIBJOL_00383	contig_1_pilon	388488	389384	+	897	8
HFFIBJOL_00384	contig_1_pilon	389227	390534	-	1308	21
HFFIBJOL_00385	contig_1_pilon	390628	392751	-	2124	5
HFFIBJOL_00386	contig_1_pilon	392748	393257	-	510	10
HFFIBJOL_00387	contig_1_pilon	393760	394272	+	513	0
HFFIBJOL_00388	contig_1_pilon	394269	395582	+	1314	0
HFFIBJOL_00389	contig_1_pilon	395800	396855	+	1056	51
HFFIBJOL_00390	contig_1_pilon	396952	397143	-	192	136
HFFIBJOL_00391	contig_1_pilon	397498	399234	+	1737	2567
HFFIBJOL_00392	contig_1_pilon	399316	400635	+	1320	445
HFFIBJOL_00393	contig_1_pilon	400697	400990	+	294	61
HFFIBJOL_00394	contig_1_pilon	400987	401958	+	972	145
HFFIBJOL_00395	contig_1_pilon	402081	402413	+	333	2130
HFFIBJOL_00396	contig_1_pilon	402430	403641	-	1212	23
HFFIBJOL_00397	contig_1_pilon	404009	405007	+	999	73
HFFIBJOL_00398	contig_1_pilon	405088	405801	+	714	48
HFFIBJOL_00399	contig_1_pilon	406196	407617	+	1422	444
HFFIBJOL_00400	contig_1_pilon	407593	408609	-	1017	58
HFFIBJOL_00401	contig_1_pilon	408647	409762	-	1116	0
HFFIBJOL_00402	contig_1_pilon	409791	410324	-	534	0
HFFIBJOL_00403	contig_1_pilon	410572	410988	+	417	111
HFFIBJOL_00404	contig_1_pilon	411144	411818	-	675	1163
HFFIBJOL_00405	contig_1_pilon	412012	413199	-	1188	22
HFFIBJOL_00406	contig_1_pilon	413196	414245	-	1050	66
